"Hot Spots - Method";"Self Time [%]";"Self Time";"Total Time";"Invocations"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$3.<init>(ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA..anonfun.run.3..anonfun.apply.2)";"4.5736026E-4";"12.197 ms";"12.194 ms";"104000"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2$$anonfun$apply$4.<init>(ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA..anonfun.run.3..anonfun.apply.2)";"4.4101122E-4";"11.761 ms";"11.759 ms";"104000"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$2.<init>(ar.edu.ungs.yaf.vrp.SBXCrossOverScala, scala.collection.mutable.ListBuffer, scala.collection.immutable.List, scala.runtime.ObjectRef)";"4.194875E-4";"11.187 ms";"11.185 ms";"104000"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$1.<init>(ar.edu.ungs.yaf.vrp.SBXCrossOverScala, scala.collection.mutable.ListBuffer, scala.collection.immutable.List, scala.runtime.ObjectRef)";"3.9912623E-4";"10.644 ms";"10.643 ms";"104000"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$2.<init>(scala.collection.mutable.ListBuffer)";"3.7996485E-4";"10.133 ms";"10.133 ms";"207998"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelper.selectRandomSubRouteFromInd(ar.edu.ungs.yamiko.ga.domain.Individual)";"3.7550263E-4";"10.014 ms";"10.69 ms";"3592"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesInOneList$2.<init>(scala.runtime.ObjectRef)";"3.69503E-4";"9.854 ms";"9.853 ms";"208000"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicGenotype.<init>(java.util.List)";"3.572037E-4";"9.526 ms";"9.525 ms";"207998"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$3.<init>(ar.edu.ungs.yaf.vrp.SBXCrossOverScala)";"3.561538E-4";"9.498 ms";"9.496 ms";"104000"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutatorRandom.execute(ar.edu.ungs.yamiko.ga.domain.Individual)";"3.4760428E-4";"9.27 ms";"229.683 ms";"7174"
"ar.edu.ungs.yaf.vrp.SBXCrossOverScala$$anonfun$execute$4.<init>(ar.edu.ungs.yaf.vrp.SBXCrossOverScala)";"3.426546E-4";"9.138 ms";"9.136 ms";"104000"
"ar.edu.ungs.yamiko.ga.domain.impl.BasicIndividual.<init>()";"3.378174E-4";"9.009 ms";"9.008 ms";"207998"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutatorSwap.execute(ar.edu.ungs.yamiko.ga.domain.Individual)";"2.886203E-4";"7.697 ms";"8.731 ms";"1752"
"io.netty.util.concurrent.SingleThreadEventExecutor$PurgeTask.run()";"2.652217E-4";"7.073 ms";"7.072 ms";"14940"
"ar.edu.ungs.yamiko.ga.toolkit.StaticHelper.randomInt(int)";"1.9828818E-4";"5.288 ms";"5.279 ms";"19963"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutatorInversion.execute(ar.edu.ungs.yamiko.ga.domain.Individual)";"1.9427593E-4";"5.181 ms";"66.464 ms";"1838"
"akka.dispatch.TaskInvocation.run()";"1.5745312E-4";"4.199 ms";"110.329 ms";"2076"
"java.util.concurrent.FutureTask.run()";"1.4980357E-4";"3.995 ms";"604.828 ms";"752"
"ar.edu.ungs.yamiko.problems.vrp.GVRMutator.execute(ar.edu.ungs.yamiko.ga.domain.Individual)";"8.6207365E-5";"2.299 ms";"2.293 ms";"7174"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$1.<init>(ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA..anonfun.run.3)";"3.554788E-5";"0.948 ms";"0.946 ms";"1040"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$2.<init>(ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA..anonfun.run.3)";"3.2173084E-5";"0.858 ms";"0.857 ms";"1040"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$3$$anonfun$apply$2.<init>(ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA..anonfun.run.3, scala.collection.mutable.ListBuffer)";"2.801083E-5";"0.747 ms";"0.746 ms";"1040"
"sun.rmi.transport.DGCImpl$1.run()";"2.0286292E-5";"0.541 ms";"0.541 ms";"25"
"ar.edu.ungs.yamiko.ga.domain.impl.DistributedPopulation.size()";"1.3349205E-5";"0.356 ms";"0.355 ms";"1040"
