"Hot Spots - Method";"Self Time [%]";"Self Time";"Self Time (CPU)";"Total Time";"Total Time (CPU)";"Samples"
"scala.collection.TraversableLike$class.filter()";"0.0";"0.0 ms";"0.0 ms";"6728.857 ms";"4266.673 ms";"35"
"scala.collection.TraversableLike$class.filterImpl()";"0.0";"0.0 ms";"0.0 ms";"6728.857 ms";"4266.673 ms";"35"
"org.apache.spark.InterruptibleIterator.foreach()";"0.0";"0.0 ms";"0.0 ms";"6789.078 ms";"5953.697 ms";"31"
"scala.collection.mutable.ListBuffer.foreach()";"0.0";"0.0 ms";"0.0 ms";"5736.563 ms";"3651.405 ms";"29"
"scala.collection.generic.TraversableForwarder$class.foreach()";"0.0";"0.0 ms";"0.0 ms";"5736.563 ms";"3651.405 ms";"29"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$.getRoutesFromIndividual()";"0.0";"0.0 ms";"0.0 ms";"5317.232 ms";"5144.173 ms";"28"
"scala.math.Ordering$$anon$5.compare()";"0.0";"0.0 ms";"0.0 ms";"4985.825 ms";"3764.126 ms";"25"
"java.util.TimSort.sort()";"0.0";"0.0 ms";"0.0 ms";"4985.828 ms";"3764.129 ms";"23"
"scala.collection.SeqLike$class.sorted()";"0.0";"0.0 ms";"0.0 ms";"4985.828 ms";"3764.129 ms";"23"
"java.util.Arrays.sort()";"0.0";"0.0 ms";"0.0 ms";"4985.828 ms";"3764.129 ms";"23"
"scala.collection.SeqLike$class.sortBy()";"0.0";"0.0 ms";"0.0 ms";"4985.828 ms";"3764.129 ms";"23"
"scala.collection.AbstractSeq.sorted()";"0.0";"0.0 ms";"0.0 ms";"4985.828 ms";"3764.129 ms";"23"
"ar.edu.ungs.yamiko.workflow.parallel.spark.scala.SparkParallelIslandsGA$$anonfun$run$4$$anonfun$apply$5.apply()";"0.0";"0.0 ms";"0.0 ms";"3260.775 ms";"2425.394 ms";"22"
"java.util.TimSort.mergeAt()";"0.0";"0.0 ms";"0.0 ms";"2871.838 ms";"2225.557 ms";"14"
"ar.edu.ungs.yamiko.ga.operators.impl.DescendantModifiedAcceptLigthEvaluator$$anonfun$execute$1.apply()";"0.0";"0.0 ms";"0.0 ms";"1725.05 ms";"1338.732 ms";"14"
"ar.edu.ungs.yamiko.problems.vrp.Route.<init>()";"0.0";"0.0 ms";"0.0 ms";"2300.064 ms";"2300.064 ms";"12"
"ar.edu.ungs.yamiko.problems.vrp.utils.RouteHelperScala$$anonfun$getRoutesModelFromRoute$1.apply()";"0.0";"0.0 ms";"0.0 ms";"1775.631 ms";"1458.044 ms";"11"
